CRIMINAL CODE OFFENCES,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Total violent offences,"63,904","57,231","53,203","56,923","54,246","53,540","59,032","79,813","80,298","80,942"
Total property offences,"217,674","208,997","226,254","232,664","237,724","232,264","238,799","269,669","230,541","219,870"
Total other Criminal Code offences,"77,498","73,873","72,186","76,892","75,873","72,008","73,730","90,281","90,747","89,548"
